dancer_id,fullname,step_time,festival_day,final_total_steps,artist_name,set_attended,Start,End,Duration
6,"Juan Lopez","2022-09-02 17:33:00",Friday,2745.0,BIJOU,12,"2022-09-02 17:30:00","2022-09-02 18:30:00",01:00:00
2,"Alexandra Murcia","2022-09-02 17:35:00",Friday,2478.0,BIJOU,12,"2022-09-02 17:30:00","2022-09-02 18:30:00",01:00:00
1,"Kevin McAllister","2022-09-02 17:36:00",Friday,4197.0,BIJOU,12,"2022-09-02 17:30:00","2022-09-02 18:30:00",01:00:00
5,"Rafael Calvao","2022-09-02 17:36:00",Friday,1719.0,BIJOU,12,"2022-09-02 17:30:00","2022-09-02 18:30:00",01:00:00
2,"Alexandra Murcia","2022-09-02 18:36:00",Friday,1598.0,NETSKY,17,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
2,"Alexandra Murcia","2022-09-02 18:36:00",Friday,1598.0,MATRODA,16,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
6,"Juan Lopez","2022-09-02 18:37:00",Friday,1568.0,NETSKY,17,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
6,"Juan Lopez","2022-09-02 18:37:00",Friday,1568.0,MATRODA,16,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
1,"Kevin McAllister","2022-09-02 18:37:00",Friday,1505.0,MATRODA,16,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
1,"Kevin McAllister","2022-09-02 18:37:00",Friday,1505.0,NETSKY,17,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
5,"Rafael Calvao","2022-09-02 18:53:00",Friday,866.5,MATRODA,16,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
5,"Rafael Calvao","2022-09-02 18:53:00",Friday,866.5,NETSKY,17,"2022-09-02 18:30:00","2022-09-02 19:30:00",01:00:00
